country_code,spend_usd,erevenue_12month_usd,subscribers,romi,cps,revenue_per_subscriber,romi_contribution_%
BJ,0.43999200000000005,27.993,1,62.62161130202366,0.43999200000000005,27.993,31.146730984899815
VC,0.799981,27.993,1,33.99208106192522,0.799981,27.993,16.906977997522056
LA,1.67996,52.465,1,30.229910235958002,1.67996,52.465,15.035749835242996
TC,1.319971,27.993,1,20.207284099423397,1.319971,27.993,10.05069701487935
UY,35.09718,445.5368,8,11.69437601539497,4.3871475,55.6921,5.816547613746903
MV,6.959883,83.979,3,11.066151112023004,2.3199609999999997,27.993,5.504081171946658
GG,10.469813,123.969,2,10.840612626032575,5.2349065,61.9845,5.39190286155466
AG,1.039974,10.493,1,9.089675318806048,1.039974,10.493,4.521021832694147
MA,7.470974,55.944,1,6.488180256014812,7.470974,55.944,3.2270904694702613
CI,13.269271999999999,89.97749999999999,2,5.780891973576244,6.6346359999999995,44.988749999999996,2.8752994918213997
QA,82.353767,345.12968811999997,7,3.1908184736710337,11.764823857142858,49.30424116,1.5870489844433096
HN,15.919446,62.979,2,2.9561050051616116,7.959723,31.4895,1.4703072221316222
GH,15.929765,55.986,3,2.514552788443521,5.309921666666667,18.662,1.250688023200851
CL,149.883538,483.17548485000003,15,2.2236728015454243,9.992235866666666,32.21169899,1.1060101633944328
BM,9.299914,27.993,1,2.010027834665998,9.299914,27.993,0.9997474503898527
TZ,10.129829,27.993,2,1.763422758666508,5.0649145,13.9965,0.8770910414925831
PY,19.529568,52.465,4,1.6864393518586793,4.882392,13.11625,0.8388010420452667
SK,55.979043000000004,145.9635,9,1.6074668693425145,6.2198936666666675,16.21816666666667,0.7995217163141319
BG,45.499123,114.50534798999999,4,1.5166495624542038,11.37478075,28.626336997499997,0.7543510129800916
AZ,4.189909,10.493,2,1.5043503331456602,2.0949545,5.2465,0.7482336234937814
BH,37.309347,86.3616,2,1.3147443454317222,18.6546735,43.1808,0.6539274156261886
BS,11.149944,24.7938,2,1.2236703610349973,5.574972,12.3969,0.6086290460577887
NG,52.484962,112.4983248,5,1.1434391969265405,10.4969924,22.49966496,0.5687236773977731
UA,532.544928,1085.7206999999999,79,1.0387401004408774,6.741075037974684,13.743299999999998,0.5166484508937301
SG,272.42620999999997,542.3794176700001,21,0.9909223039515916,12.972676666666665,25.82759131761905,0.4928648398914635
IT,1632.188675,3146.4953494,211,0.9277767316943306,7.735491350710901,14.912300234123224,0.4614575012572226
JP,177.116704,325.55240204,9,0.8380671878356545,19.679633777777777,36.17248911555556,0.4168377769919359
BR,1228.120687,2256.47791778,160,0.8373421616177043,7.675754293750001,14.102986986125,0.41647716352163444
HU,119.327499,207.6223226,17,0.7399369327266297,7.019264647058824,12.213077799999999,0.3680297601777533
AT,313.883676,529.17491713,26,0.6858949910157165,12.072449076923077,20.352881428076923,0.3411503844259342
AR,100.654642,167.4455,14,0.6635646073829363,7.189617285714285,11.960392857142859,0.33004370037008435
PK,92.887732,144.5990287,3,0.5567074960986236,30.962577333333332,48.19967623333333,0.2768951206737897
LI,7.159979,10.493,1,0.4655070915710787,7.159979,10.493,0.23153387227292518
DO,44.449669,62.958,6,0.4163884999908548,7.408278166666666,10.493,0.207103271933886
DE,3149.184319,4450.672960221,245,0.41327801404596026,12.853813546938776,18.166012082534692,0.2055561787348515
AL,7.499836,10.493,1,0.399097260260091,7.499836,10.493,0.19850295678562174
LT,61.768921,86.40410234,5,0.39882809900467575,12.3537842,17.280820467999998,0.19836908138638387
AU,2574.972308,3540.439865355,163,0.37494288942659976,15.797376122699387,21.720489971503067,0.18648905815194108
AE,425.215163,583.894982528,42,0.3731753552918337,10.124170547619048,13.902261488761905,0.18560992219460096
IM,20.469668,27.993,2,0.36753561415847097,10.234834,13.9965,0.18280482829406047
MX,529.230834,683.97831103,30,0.2924007202309003,17.6410278,22.799277034333333,0.14543424200470062
CH,816.664768,1043.81141816,58,0.278139401943687,14.080427034482758,17.996748588965517,0.13834094889156878
PH,326.426048,408.93291625,27,0.25275822427626865,12.089853629629628,15.145663564814814,0.12571686119324602
GR,171.668251,212.825369113,22,0.23974798993554142,7.803102318181818,9.673880414227272,0.11924583209265752
NL,560.7223,679.35557733,39,0.2115722476705491,14.377494871794871,17.419373777692307,0.10523178412453651
