media_source,country_code,romi,cps,revenue_per_subscriber,recommendation
ms_1,UG,0.13440302864959564,9.249799,10.493,🟡 Перевірити
ms_2,AU,0.1473504562378608,6.861507590909091,7.872553864909091,🟡 Перевірити
ms_1,TH,0.15790686660738476,16.178923130434782,18.733686187043478,🟡 Перевірити
ms_1,ZA,0.17241029954154774,11.41018848275862,13.377422496896553,🟡 Перевірити
ms_1,IL,0.1924873402618696,41.5694815,49.571080429999995,🟡 Перевірити
ms_1,NL,0.19602442794587838,15.119739027777777,18.08357722138889,🟡 Перевірити
ms_2,NZ,0.23517232807713753,5.736669166666666,7.085775009999999,🟡 Перевірити
ms_1,GR,0.23974798993554142,7.803102318181818,9.673880414227272,🟡 Перевірити
ms_1,PH,0.25275822427626865,12.089853629629628,15.145663564814814,🟡 Перевірити
ms_1,CH,0.27993654046443217,14.060656931034483,17.996748588965517,🟡 Перевірити
ms_1,DE,0.3383164302670733,13.450117424892703,18.000513138755363,🟡 Перевірити
ms_1,IM,0.36753561415847097,10.234834,13.9965,🟡 Перевірити
ms_1,LT,0.39882809900467575,12.3537842,17.280820467999998,🟡 Перевірити
ms_1,AL,0.399097260260091,7.499836,10.493,🟡 Перевірити
ms_1,AU,0.40871299475842227,18.881976371900826,26.599285481818182,🟡 Перевірити
ms_1,LI,0.4655070915710787,7.159979,10.493,🟡 Перевірити
ms_2,AR,0.4872425205465214,7.388842,10.989,🟡 Перевірити
ms_1,PK,0.5567074960986236,30.962577333333332,48.19967623333333,✅ Масштабувати
ms_2,US,0.6377747131543574,8.110754523255814,13.283588662790699,✅ Масштабувати
ms_2,CA,0.6489022228575392,5.7263374411764705,9.442170535588234,✅ Масштабувати
ms_1,AR,0.6775334581379242,7.1742923076923075,12.035115384615384,✅ Масштабувати
ms_1,AT,0.6870565890786615,13.0694815,22.04895488041667,✅ Масштабувати
ms_2,NL,0.7272315479906248,5.470565000000001,9.448932453333333,✅ Масштабувати
ms_1,HU,0.7399369327266297,7.019264647058824,12.213077799999999,✅ Масштабувати
ms_1,BR,0.837513436051717,7.6750388375,14.102986986125,✅ Масштабувати
ms_1,JP,0.8380671878356545,19.679633777777777,36.17248911555556,✅ Масштабувати
ms_1,IT,0.9277767316943306,7.772327023809524,14.983311187619048,✅ Масштабувати
ms_2,GB,0.9337511540281824,4.5448509649532705,8.788610798364486,✅ Масштабувати
ms_1,SG,0.9909223039515916,12.972676666666665,25.82759131761905,✅ Масштабувати
ms_1,UA,1.0387401004408774,6.741075037974684,13.743299999999998,✅ Масштабувати
ms_3,US,1.05910032989539,4.4076216216216215,9.075735135135135,✅ Масштабувати
ms_2,SA,1.0662049275693515,6.107517142857143,12.619382015785716,✅ Масштабувати
ms_2,NO,1.1696723626540737,2.5803895999999997,5.598599999999999,✅ Масштабувати
ms_1,BS,1.2236703610349973,5.574972,12.3969,✅ Масштабувати
ms_1,BH,1.3147443454317222,18.6546735,43.1808,✅ Масштабувати
ms_1,AZ,1.5043503331456602,2.0949545,5.2465,✅ Масштабувати
ms_1,BG,1.5166495624542038,11.37478075,28.626336997499997,✅ Масштабувати
ms_1,SK,1.6074668693425145,6.2198936666666675,16.21816666666667,✅ Масштабувати
ms_2,DO,1.609271694174403,4.466763666666666,11.655000000000001,✅ Масштабувати
ms_1,PY,1.6864393518586793,4.882392,13.11625,✅ Масштабувати
ms_1,TZ,1.763422758666508,5.0649145,13.9965,✅ Масштабувати
ms_2,MX,1.8624107980924698,13.6738892,39.140288098,✅ Масштабувати
ms_1,NG,1.9527745575286741,19.049596,56.2491624,✅ Масштабувати
ms_1,BM,2.010027834665998,9.299914,27.993,✅ Масштабувати
ms_1,CL,2.2928179291829407,9.7824112,32.21169899,✅ Масштабувати
ms_1,GH,2.514552788443521,5.309921666666667,18.662,✅ Масштабувати
ms_1,QA,2.562523444860058,15.895765599999999,56.629037624,✅ Масштабувати
ms_1,HN,2.9561050051616116,7.959723,31.4895,✅ Масштабувати
ms_2,AE,3.2242349699063086,3.332940285714286,14.07912290752381,✅ Масштабувати
ms_1,CI,5.780891973576244,6.6346359999999995,44.988749999999996,✅ Масштабувати
ms_1,AG,9.089675318806048,1.039974,10.493,✅ Масштабувати
ms_1,GG,10.840612626032575,5.2349065,61.9845,✅ Масштабувати
ms_1,MV,11.066151112023004,2.3199609999999997,27.993,✅ Масштабувати
ms_1,UY,12.07373476214077,4.25984625,55.6921,✅ Масштабувати
ms_2,DE,15.760572684032146,1.2755799166666668,21.379449907583336,✅ Масштабувати
ms_1,TC,20.207284099423397,1.319971,27.993,✅ Масштабувати
ms_2,QA,20.56028353992902,1.4374695,30.99225,✅ Масштабувати
ms_2,DK,21.774182263424873,1.229155,27.993,✅ Масштабувати
ms_1,LA,30.229910235958002,1.67996,52.465,✅ Масштабувати
ms_1,VC,33.99208106192522,0.799981,27.993,✅ Масштабувати
ms_2,MA,59.73719740783404,0.921083,55.944,✅ Масштабувати
ms_1,BJ,62.62161130202366,0.43999200000000005,27.993,✅ Масштабувати
